,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
52,theHunter: Call of the Wild™ - Duck and Cover Pack,6,"3,99€",-43%,"2,27€                    ",win,1,0,0,"27 Sep, 2018"
53,BPM Soundtrack Edition,9,"23,38€",-40%,"13,92€                    ",win music,1,0,0,
54,Destiny 2: Legendary Edition,6,"79,99€",-15%,"67,99€                    ",win,1,0,0,"10 Nov, 2020"
55,War Room,7,"24,99€",-10%,"22,49€                    ",win,1,0,0,"18 Nov, 2020"
56,BloodRayne: Terminal Cut,9,"12,49€",-34%,"8,24€                    ",win,1,0,0,"20 Nov, 2020"
57,theHunter: Call of the Wild™ - Wild Goose Chase Gear,6,"3,99€",-43%,"2,27€                    ",win,1,0,0,"12 Jun, 2018"
58,Supreme Commander Collection,9,"37,96€",-84%,"5,92€                    ",win,1,0,0,
59,theHunter: Call of the Wild™ - Trophy Lodge Spring Creek Manor,7,"3,99€",-43%,"2,27€                    ",win,1,0,0,"11 Apr, 2019"
60,theHunter: Call of the Wild™ - Saseka Safari Trophy Lodge,6,"3,99€",-43%,"2,27€                    ",win,1,0,0,"14 Nov, 2019"
61,Melvor Idle,9,"8,19€",-25%,"6,14€                    ",win linux,1,1,0,"19 Nov, 2020"
62,Just Cause 2,9,"14,99€",-90%,"1,49€                    ",win,1,0,0,"23 Mar, 2010"
63,Zaccaria Pinball - VR Starter Pack,7,"44,49€",-80%,"8,82€                    ",win linux,1,1,0,
64,Supreme Commander 2,9,"12,99€",-75%,"3,24€                    ",win,1,0,0,"2 Mar, 2010"
65,The Deus Ex Collection,7,"88,94€",-59%,"36,32€                    ",win,1,0,0,
66,Hearts of Iron IV: Axis Armor Pack,6,"5,99€",-50%,"2,99€                    ",win mac linux,1,1,1,"4 Jun, 2019"
67,Space Crew,7,"19,99€",-30%,"13,99€                    ",win mac linux,1,1,1,"15 Oct, 2020"
68,Thief™ Gold,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"22 May, 2012"
69,Crossroads Inn Anniversary Edition,6,"24,99€",-28%,"17,99€                    ",win mac linux,1,1,1,"23 Oct, 2019"
70,Mini Ninjas,9,"9,99€",-85%,"1,49€                    ",win,1,0,0,"9 Oct, 2009"
71,Life is Strange 2 - Episode 2,7,"7,99€",-50%,"3,99€                    ",win mac linux,1,1,1,"24 Jan, 2019"
72,Life is Strange 2 - Episode 3,7,"7,99€",-50%,"3,99€                    ",win mac linux,1,1,1,"9 May, 2019"
73,Life is Strange 2 - Episode 5,7,"7,99€",-50%,"3,99€                    ",win mac linux,1,1,1,"3 Dec, 2019"
74,Life is Strange 2 - Episode 4,6,"7,99€",-50%,"3,99€                    ",win mac linux,1,1,1,"22 Aug, 2019"
75,Hearts of Iron IV: Allied Armor Pack,6,"6,99€",-33%,"4,68€                    ",win mac linux,1,1,1,"4 Jun, 2020"
76,Thief™ II: The Metal Age,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"22 May, 2012"
77,Paladins - Champions Pack,9,"29,99€",-67%,"9,90€                    ",win mac,1,0,1,"26 Apr, 2018"
78,SMITE® - Ultimate God Pack,7,"23,99€",-67%,"7,92€                    ",win mac,1,0,1,"8 Sep, 2015"
79,Life is Strange: Before the Storm Deluxe Edition,9,"26,98€",-82%,"4,91€                    ",win mac linux,1,1,1,
80,Invisigun Reloaded,9,"16,79€",-90%,"1,67€                    ",win mac linux,1,1,1,"8 Feb, 2017"
81,PowerBeatsVR - VR Fitness,9,"19,99€",-40%,"11,99€                    ",win,1,0,0,"18 Nov, 2020"
82,Kane & Lynch 2: Dog Days,6,"9,99€",-90%,"0,99€                    ",win,1,0,0,"17 Aug, 2010"
83,Hearts of Iron IV: Radio Pack,7,"6,99€",-50%,"3,49€                    ",win mac linux,1,1,1,"4 Jun, 2019"
84,Brawlhalla - All Legends (Current and Future),9,"19,99€",-25%,"14,99€                    ",win mac,1,0,1,"26 Aug, 2015"
85,Thief: Deadly Shadows,9,"8,99€",-89%,"0,98€                    ",win,1,0,0,"29 Mar, 2007"
86,Gaia Beyond,7,"14,99€",-30%,"10,49€                    ",win,1,0,0,"20 Aug, 2020"
87,Supreme Commander,9,"9,99€",-80%,"1,99€                    ",win,1,0,0,"28 Sep, 2011"
88,BPM: BULLETS PER MINUTE Soundtrack,8,"6,59€",-33%,"4,41€                    ",music,0,0,0,"15 Sep, 2020"
89,Ken Follett's The Pillars of the Earth,9,"29,99€",-80%,"5,99€                    ",win mac linux,1,1,1,"15 Aug, 2017"
90,古剑奇谭二(GuJian2),7,"15,99€",-80%,"3,19€                    ",win,1,0,0,"7 Sep, 2017"
91,Supreme Commander: Forged Alliance,10,"9,99€",-80%,"1,99€                    ",win,1,0,0,"28 Sep, 2011"
92,Battlestations Collection,6,"15,98€",-88%,"1,89€                    ",win,1,0,0,
93,Zero Hour,7,"9,99€",-10%,"8,99€                    ",win,1,0,0,"12 Aug, 2020"
94,Tomb Raider II,9,"6,99€",-86%,"0,97€                    ",win,1,0,0,"28 Nov, 2012"
95,AppGameKit Classic: Easy Game Development,9,"67,99€",-75%,"16,99€                    ",win mac linux,1,1,1,"21 Nov, 2014"
