,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
22,Hearts of Iron IV: Mobilization Pack,9,"104,95€",-64%,"38,20€                    ",1,1,1,
23,Command & Conquer™ Remastered Collection,9,"19,99€",-35%,"12,99€                    ",1,0,0,"5 Jun, 2020"
24,Rust,9,"33,99€",-33%,"22,77€                    ",1,0,1,"8 Feb, 2018"
25,Halo: The Master Chief Collection,9,"39,99€",-35%,"25,99€                    ",1,0,0,"3 Dec, 2019"
26,Satisfactory,10,"29,99€",-20%,"23,99€                    ",1,0,0,"8 Jun, 2020"
27,The Sims™ 4,9,"39,99€",-88%,"4,79€                    ",1,0,0,"18 Jun, 2020"
28,Raft,9,"19,99€",-33%,"13,39€                    ",1,0,0,"23 May, 2018"
29,EA SPORTS™ FIFA 21,7,"59,99€",-42%,"34,79€                    ",1,0,0,"8 Oct, 2020"
30,Fall Guys: Ultimate Knockout,9,"19,99€",-20%,"15,99€                    ",1,0,0,"3 Aug, 2020"
31,Euro Truck Simulator 2,10,"19,99€",-75%,"4,99€                    ",1,1,1,"12 Oct, 2012"
32,Titanfall Collection,10,"49,98€",-71%,"14,30€                    ",1,0,0,
33,Total War: WARHAMMER II - The Twisted & The Twilight,,"9,99€",-10%,"8,99€                    ",1,1,1,"3 Dec, 2020"
34,Stellaris,9,"39,99€",-75%,"9,99€                    ",1,1,1,"9 May, 2016"
35,Metro Exodus,9,"39,99€",-60%,"15,99€                    ",1,0,0,"14 Feb, 2020"
36,Slasher's Keep,9,"13,99€",-25%,"10,49€                    ",1,0,0,"19 Nov, 2020"
37,Marvel's Avengers,6,"59,99€",-50%,"29,99€                    ",1,0,0,"4 Sep, 2020"
38,PAYDAY 2,9,"9,99€",-50%,"4,99€                    ",1,1,0,"13 Aug, 2013"
39,DayZ,6,"39,99€",-40%,"23,99€                    ",1,0,0,"13 Dec, 2018"
40,Destiny 2: Legendary Edition,6,"79,99€",-15%,"67,99€                    ",1,0,0,"10 Nov, 2020"
41,Fallout 76,7,"39,99€",-67%,"13,19€                    ",1,0,0,"14 Apr, 2020"
42,American Truck Simulator,10,"19,99€",-75%,"4,99€                    ",1,1,1,"2 Feb, 2016"
43,Age of Empires II: Definitive Edition,9,"19,99€",-50%,"9,99€                    ",1,0,0,"14 Nov, 2019"
44,Dead by Daylight,9,"19,99€",-60%,"7,99€                    ",1,0,0,"14 Jun, 2016"
45,Warhammer: Vermintide 2,9,"27,99€",-75%,"6,99€                    ",1,0,0,"8 Mar, 2018"
46,Borderlands 3,9,"59,99€",-67%,"19,79€                    ",1,0,0,"13 Mar, 2020"
47,theHunter: Call of the Wild™ - Yukon Valley,9,"7,99€",-50%,"3,99€                    ",1,0,0,"25 Jun, 2019"
48,Control Ultimate Edition,9,"39,99€",-50%,"19,99€                    ",1,0,0,"27 Aug, 2020"
49,Mafia: Definitive Edition,9,"39,99€",-25%,"29,99€                    ",1,0,0,"24 Sep, 2020"
50,Sid Meier’s Civilization® VI,9,"59,99€",-75%,"14,99€                    ",1,1,1,"20 Oct, 2016"
51,Farming Simulator 19,9,"19,99€",-30%,"13,99€                    ",1,0,1,"19 Nov, 2018"
52,theHunter: Call of the Wild™ - 2021 Edition,9,"83,87€",-65%,"29,13€                    ",1,0,0,
53,Titanfall­™,7,"19,99€",-60%,"7,99€                    ",1,0,0,"20 Nov, 2020"
54,theHunter: Call of the Wild™ - ATV SABER 4X4,6,"3,99€",-50%,"1,99€                    ",1,0,0,"15 Jun, 2017"
55,DARK SOULS™ III,9,"59,99€",-75%,"14,99€                    ",1,0,0,"11 Apr, 2016"
56,theHunter: Call of the Wild™ - 2019 Edition,9,"51,93€",-68%,"16,65€                    ",1,0,0,
57,STAR WARS Jedi: Fallen Order™,9,"59,99€",-60%,"23,99€                    ",1,0,0,"15 Nov, 2019"
58,HIVESWAP: ACT 2,,"12,49€",-10%,"11,24€                    ",1,1,1,"25 Nov, 2020"
59,theHunter: Call of the Wild™ - Medved-Taiga,9,"7,99€",-50%,"3,99€                    ",1,0,0,"17 Oct, 2017"
60,Grand Theft Auto V: Premium Online Edition,9,"39,98€",-60%,"15,98€                    ",1,0,0,
61,Hell Let Loose,9,"29,99€",-25%,"22,49€                    ",1,0,0,"6 Jun, 2019"
62,The Forest,9,"16,79€",-50%,"8,39€                    ",1,0,0,"30 Apr, 2018"
63,Expansion - Hearts of Iron IV: Man the Guns,6,"19,99€",-50%,"9,99€                    ",1,1,1,"28 Feb, 2019"
64,Age of Empires Definitive Collection,9,"59,97€",-61%,"23,22€                    ",1,0,0,
65,Age of Empires III: Definitive Edition,6,"19,99€",-20%,"15,99€                    ",1,0,0,"15 Oct, 2020"
66,BONEWORKS,9,"24,99€",-20%,"19,99€                    ",1,0,0,"10 Dec, 2019"
67,Thief,7,"19,99€",-85%,"2,99€                    ",1,0,1,"27 Feb, 2014"
68,Assetto Corsa Competizione,9,"39,99€",-60%,"15,99€                    ",1,0,0,"29 May, 2019"
69,CarX Drift Racing Online,9,"12,49€",-55%,"5,62€                    ",1,0,0,"17 Nov, 2017"
70,art of rally,9,"20,99€",-20%,"16,79€                    ",1,1,1,"23 Sep, 2020"
71,Wreckfest,9,"29,99€",-50%,"14,99€                    ",1,0,0,"14 Jun, 2018"
72,We Happy Few Digital Deluxe Edition,7,"91,57€",-76%,"21,82€                    ",1,0,0,
73,F1® 2020,9,"54,99€",-50%,"27,49€                    ",1,0,0,"9 Jul, 2020"
74,STAR WARS™: Squadrons,7,"39,99€",-40%,"23,99€                    ",1,0,0,"1 Oct, 2020"
75,Assetto Corsa,9,"19,99€",-80%,"3,99€                    ",1,0,0,"19 Dec, 2014"
76,The Witcher® 3: Wild Hunt,10,"29,99€",-70%,"8,99€                    ",1,0,0,"18 May, 2015"
77,Deep Rock Galactic,10,"29,99€",-30%,"20,99€                    ",1,0,0,"13 May, 2020"
78,Elite Dangerous,7,"24,99€",-75%,"6,24€                    ",1,0,0,"2 Apr, 2015"
79,theHunter: Call of the Wild™ - Silver Ridge Peaks,6,"7,99€",-25%,"5,99€                    ",1,0,0,"23 Jun, 2020"
80,Terraria,10,"9,99€",-50%,"4,99€                    ",1,1,1,"16 May, 2011"
81,Cities: Skylines,9,"27,99€",-75%,"6,99€                    ",1,1,1,"10 Mar, 2015"
82,DiRT Rally 2.0,9,"19,99€",-75%,"4,99€                    ",1,0,0,"25 Feb, 2019"
83,Haydee 2,9,"20,99€",-10%,"18,89€                    ",1,0,0,"23 Nov, 2020"
84,Total War: WARHAMMER,7,"59,99€",-75%,"14,99€                    ",1,1,1,"24 May, 2016"
85,TEKKEN 7,9,"39,99€",-75%,"9,99€                    ",1,0,0,"1 Jun, 2017"
86,Pavlov VR,9,"20,99€",-40%,"12,59€                    ",1,0,0,"27 Feb, 2017"
87,Stardew Valley,10,"13,99€",-30%,"9,79€                    ",1,1,1,"26 Feb, 2016"
88,Expansion - Hearts of Iron IV: Waking the Tiger,7,"19,99€",-50%,"9,99€                    ",1,1,1,"8 Mar, 2018"
89,IL-2 Sturmovik: Battle of Stalingrad,7,"46,99€",-85%,"7,04€                    ",1,0,0,"22 Oct, 2014"
90,Medieval Dynasty,9,"24,99€",-20%,"19,99€                    ",1,0,0,"17 Sep, 2020"
91,Sky Haven,6,"22,99€",-15%,"19,54€                    ",1,1,1,"25 Nov, 2020"
92,Marvel's Avengers Deluxe Edition,6,"79,98€",-50%,"39,98€                    ",1,0,0,
93,Fallout 4,7,"29,99€",-70%,"8,99€                    ",1,0,0,"10 Nov, 2015"
94,Sleeping Dogs: Definitive Edition,9,"19,99€",-85%,"2,99€                    ",1,0,1,"14 Oct, 2014"
95,Hunt: Showdown,9,"39,99€",-50%,"19,99€                    ",1,0,0,"27 Aug, 2019"
96,7 Days to Die,9,"22,99€",-66%,"7,81€                    ",1,1,1,"13 Dec, 2013"
97,ASTRONEER,9,"27,99€",-35%,"18,19€                    ",1,0,0,"5 Feb, 2019"
98,BELOW,7,"21,99€",-60%,"8,79€                    ",1,0,0,"14 Dec, 2018"
99,The Jackbox Party Pack 3,10,"22,99€",-35%,"14,94€                    ",1,1,1,"17 Oct, 2016"
100,Left 4 Dead 2,10,"8,19€",-80%,"1,63€                    ",1,1,1,"16 Nov, 2009"
101,Total War: THREE KINGDOMS,9,"59,99€",-33%,"40,19€                    ",1,1,1,"23 May, 2019"
102,Spyro™ Reignited Trilogy,10,"39,99€",-50%,"19,99€                    ",1,0,0,"3 Sep, 2019"
103,MORDHAU,9,"24,99€",-25%,"18,74€                    ",1,0,0,"29 Apr, 2019"
104,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,6,"7,99€",-40%,"4,79€                    ",1,0,0,"10 Dec, 2019"
105,3DMark,9,"24,99€",-85%,"3,74€                    ",1,0,0,"12 Feb, 2013"
106,Bloons TD 6,10,"8,19€",-90%,"0,81€                    ",1,0,1,"17 Dec, 2018"
107,theHunter: Call of the Wild™ - Smoking Barrels Weapon Pack,9,"3,99€",-40%,"2,39€                    ",1,0,0,"26 Mar, 2020"
108,Monster Hunter: World,9,"29,99€",-34%,"19,79€                    ",1,0,0,"9 Aug, 2018"
109,RimWorld,10,"29,99€",-10%,"26,99€                    ",1,1,1,"17 Oct, 2018"
110,theHunter: Call of the Wild™ - Tents & Ground Blinds,6,"3,99€",-50%,"1,99€                    ",1,0,0,"27 Apr, 2017"
111,theHunter: Call of the Wild™ - Weapon Pack 2,9,"3,99€",-50%,"1,99€                    ",1,0,0,"28 Feb, 2019"
112,Sekiro™: Shadows Die Twice - GOTY Edition,9,"59,99€",-35%,"38,99€                    ",1,0,0,"21 Mar, 2019"
113,Children of Morta,9,"21,99€",-50%,"10,99€                    ",1,1,1,"3 Sep, 2019"
114,theHunter: Call of the Wild™ - Parque Fernando,7,"7,99€",-50%,"3,99€                    ",1,0,0,"13 Dec, 2018"
115,theHunter: Call of the Wild™ - Weapon Pack 1,9,"3,99€",-50%,"1,99€                    ",1,0,0,"12 Apr, 2018"
116,Sid Meier's Civilization V: Complete,10,"136,84€",-78%,"30,31€                    ",1,1,1,
117,Generation Zero®,6,"24,99€",-63%,"9,24€                    ",1,0,0,"26 Mar, 2019"
118,Expansion - Hearts of Iron IV: La Résistance,6,"19,99€",-33%,"13,39€                    ",1,1,1,"25 Feb, 2020"
119,Expansion - Hearts of Iron IV: Together for Victory,6,"14,99€",-50%,"7,49€                    ",1,1,1,"15 Dec, 2016"
120,Mortal Kombat 11,9,"49,99€",-70%,"14,99€                    ",1,0,0,"23 Apr, 2019"
121,The Elder Scrolls V: Skyrim Special Edition,9,"39,99€",-60%,"15,99€                    ",1,0,0,"27 Oct, 2016"
122,Post Scriptum,9,"28,--€",-25%,"21,--€                    ",1,0,0,"9 Aug, 2018"
123,Ultimate Chicken Horse,10,"12,49€",-45%,"6,86€                    ",1,1,1,"4 Mar, 2016"
124,Resident Evil 3,7,"59,99€",-67%,"19,79€                    ",1,0,0,"2 Apr, 2020"
,Name,Score,Original Price,Discount,Discounted Price,Win,Linux,Mac,Release Date
0,Counter-Strike: Global Offensive,9,Free to Play,,Free to Play,1,1,1,"21 Aug, 2012"
1,theHunter: Call of the Wild™,9,"19,99€",-70%,"5,99€",1,0,0,"16 Feb, 2017"
2,Hearts of Iron IV,9,"39,99€",-75%,"9,99€",1,1,1,"6 Jun, 2016"
3,Crusader Kings III,9,"49,99€",-20%,"39,99€",1,1,1,"1 Sep, 2020"
4,Black Desert Online,7,"9,99€",-70%,"2,99€",1,0,0,"24 May, 2017"
5,Titanfall® 2,10,"29,99€",-67%,"9,89€",1,0,0,"18 Jun, 2020"
6,Among Us,10,"3,99€",-20%,"3,19€",1,0,0,"16 Nov, 2018"
7,We Happy Few,7,"59,99€",-85%,"8,99€",1,0,0,"10 Aug, 2018"
8,Grand Theft Auto V,9,"29,99€",-50%,"14,99€",1,0,0,"13 Apr, 2015"
9,Total War: WARHAMMER II,9,"59,99€",-66%,"20,39€",1,1,1,"28 Sep, 2017"
10,Dota 2,9,Free to Play,,Free to Play,1,1,1,"9 Jul, 2013"
11,Phasmophobia,10,"11,59€",-10%,"10,43€",1,0,0,"18 Sep, 2020"
12,Noita,10,"18,99€",-25%,"14,24€",1,0,0,"15 Oct, 2020"
13,Team Fortress 2,9,Free to Play,,Free to Play,1,1,1,"10 Oct, 2007"
14,theHunter: Call of the Wild™- Complete Collection,9,"115,81€",-62%,"43,86€",1,0,0,
15,DOOM Eternal,9,"59,99€",-67%,"19,79€",1,0,0,"19 Mar, 2020"
16,Untitled Goose Game,9,"16,79€",-25%,"12,59€",1,0,1,"23 Sep, 2020"
17,PLAYERUNKNOWN'S BATTLEGROUNDS,6,"29,99€",-50%,"14,99€",1,0,0,"21 Dec, 2017"
18,Red Dead Redemption 2,7,"59,99€",-33%,"40,19€",1,0,0,"5 Dec, 2019"
19,Tom Clancy's Rainbow Six® Siege,9,"19,99€",-60%,"7,99€",1,0,0,"1 Dec, 2015"
20,Sea of Thieves,9,"39,99€",-25%,"29,99€",1,0,0,"3 Jun, 2020"
21,Hades,10,"20,99€",-20%,"16,79€",1,0,1,"17 Sep, 2020"
22,Hearts of Iron IV: Mobilization Pack,9,"104,95€",-64%,"38,20€",1,1,1,
23,Command & Conquer™ Remastered Collection,9,"19,99€",-35%,"12,99€",1,0,0,"5 Jun, 2020"
24,Rust,9,"33,99€",-33%,"22,77€",1,0,1,"8 Feb, 2018"
25,Halo: The Master Chief Collection,9,"39,99€",-35%,"25,99€",1,0,0,"3 Dec, 2019"
26,Satisfactory,10,"29,99€",-20%,"23,99€",1,0,0,"8 Jun, 2020"
27,The Sims™ 4,9,"39,99€",-88%,"4,79€",1,0,0,"18 Jun, 2020"
28,Raft,9,"19,99€",-33%,"13,39€",1,0,0,"23 May, 2018"
29,EA SPORTS™ FIFA 21,7,"59,99€",-42%,"34,79€",1,0,0,"8 Oct, 2020"
30,Fall Guys: Ultimate Knockout,9,"19,99€",-20%,"15,99€",1,0,0,"3 Aug, 2020"
31,Euro Truck Simulator 2,10,"19,99€",-75%,"4,99€",1,1,1,"12 Oct, 2012"
32,Titanfall Collection,10,"49,98€",-71%,"14,30€",1,0,0,
33,Total War: WARHAMMER II - The Twisted & The Twilight,,"9,99€",-10%,"8,99€",1,1,1,"3 Dec, 2020"
34,Stellaris,9,"39,99€",-75%,"9,99€",1,1,1,"9 May, 2016"
35,Metro Exodus,9,"39,99€",-60%,"15,99€",1,0,0,"14 Feb, 2020"
36,Slasher's Keep,9,"13,99€",-25%,"10,49€",1,0,0,"19 Nov, 2020"
37,Marvel's Avengers,6,"59,99€",-50%,"29,99€",1,0,0,"4 Sep, 2020"
38,PAYDAY 2,9,"9,99€",-50%,"4,99€",1,1,0,"13 Aug, 2013"
39,DayZ,6,"39,99€",-40%,"23,99€",1,0,0,"13 Dec, 2018"
40,Destiny 2: Legendary Edition,6,"79,99€",-15%,"67,99€",1,0,0,"10 Nov, 2020"
41,Fallout 76,7,"39,99€",-67%,"13,19€",1,0,0,"14 Apr, 2020"
42,American Truck Simulator,10,"19,99€",-75%,"4,99€",1,1,1,"2 Feb, 2016"
43,Age of Empires II: Definitive Edition,9,"19,99€",-50%,"9,99€",1,0,0,"14 Nov, 2019"
44,Dead by Daylight,9,"19,99€",-60%,"7,99€",1,0,0,"14 Jun, 2016"
45,Warhammer: Vermintide 2,9,"27,99€",-75%,"6,99€",1,0,0,"8 Mar, 2018"
46,Borderlands 3,9,"59,99€",-67%,"19,79€",1,0,0,"13 Mar, 2020"
47,theHunter: Call of the Wild™ - Yukon Valley,9,"7,99€",-50%,"3,99€",1,0,0,"25 Jun, 2019"
48,Control Ultimate Edition,9,"39,99€",-50%,"19,99€",1,0,0,"27 Aug, 2020"
49,Mafia: Definitive Edition,9,"39,99€",-25%,"29,99€",1,0,0,"24 Sep, 2020"
50,Sid Meier’s Civilization® VI,9,"59,99€",-75%,"14,99€",1,1,1,"20 Oct, 2016"
51,Farming Simulator 19,9,"19,99€",-30%,"13,99€",1,0,1,"19 Nov, 2018"
52,theHunter: Call of the Wild™ - 2021 Edition,9,"83,87€",-65%,"29,13€",1,0,0,
53,Titanfall­™,7,"19,99€",-60%,"7,99€",1,0,0,"20 Nov, 2020"
54,theHunter: Call of the Wild™ - ATV SABER 4X4,6,"3,99€",-50%,"1,99€",1,0,0,"15 Jun, 2017"
55,DARK SOULS™ III,9,"59,99€",-75%,"14,99€",1,0,0,"11 Apr, 2016"
56,theHunter: Call of the Wild™ - 2019 Edition,9,"51,93€",-68%,"16,65€",1,0,0,
57,STAR WARS Jedi: Fallen Order™,9,"59,99€",-60%,"23,99€",1,0,0,"15 Nov, 2019"
58,HIVESWAP: ACT 2,,"12,49€",-10%,"11,24€",1,1,1,"25 Nov, 2020"
59,theHunter: Call of the Wild™ - Medved-Taiga,9,"7,99€",-50%,"3,99€",1,0,0,"17 Oct, 2017"
60,Grand Theft Auto V: Premium Online Edition,9,"39,98€",-60%,"15,98€",1,0,0,
61,Hell Let Loose,9,"29,99€",-25%,"22,49€",1,0,0,"6 Jun, 2019"
62,The Forest,9,"16,79€",-50%,"8,39€",1,0,0,"30 Apr, 2018"
63,Expansion - Hearts of Iron IV: Man the Guns,6,"19,99€",-50%,"9,99€",1,1,1,"28 Feb, 2019"
64,Age of Empires Definitive Collection,9,"59,97€",-61%,"23,22€",1,0,0,
65,Age of Empires III: Definitive Edition,6,"19,99€",-20%,"15,99€",1,0,0,"15 Oct, 2020"
66,BONEWORKS,9,"24,99€",-20%,"19,99€",1,0,0,"10 Dec, 2019"
67,Thief,7,"19,99€",-85%,"2,99€",1,0,1,"27 Feb, 2014"
68,Assetto Corsa Competizione,9,"39,99€",-60%,"15,99€",1,0,0,"29 May, 2019"
69,CarX Drift Racing Online,9,"12,49€",-55%,"5,62€",1,0,0,"17 Nov, 2017"
70,art of rally,9,"20,99€",-20%,"16,79€",1,1,1,"23 Sep, 2020"
71,Wreckfest,9,"29,99€",-50%,"14,99€",1,0,0,"14 Jun, 2018"
72,We Happy Few Digital Deluxe Edition,7,"91,57€",-76%,"21,82€",1,0,0,
73,F1® 2020,9,"54,99€",-50%,"27,49€",1,0,0,"9 Jul, 2020"
74,STAR WARS™: Squadrons,7,"39,99€",-40%,"23,99€",1,0,0,"1 Oct, 2020"
75,Assetto Corsa,9,"19,99€",-80%,"3,99€",1,0,0,"19 Dec, 2014"
76,The Witcher® 3: Wild Hunt,10,"29,99€",-70%,"8,99€",1,0,0,"18 May, 2015"
77,Deep Rock Galactic,10,"29,99€",-30%,"20,99€",1,0,0,"13 May, 2020"
78,Elite Dangerous,7,"24,99€",-75%,"6,24€",1,0,0,"2 Apr, 2015"
79,theHunter: Call of the Wild™ - Silver Ridge Peaks,6,"7,99€",-25%,"5,99€",1,0,0,"23 Jun, 2020"
80,Terraria,10,"9,99€",-50%,"4,99€",1,1,1,"16 May, 2011"
81,Cities: Skylines,9,"27,99€",-75%,"6,99€",1,1,1,"10 Mar, 2015"
82,DiRT Rally 2.0,9,"19,99€",-75%,"4,99€",1,0,0,"25 Feb, 2019"
83,Haydee 2,9,"20,99€",-10%,"18,89€",1,0,0,"23 Nov, 2020"
84,Total War: WARHAMMER,7,"59,99€",-75%,"14,99€",1,1,1,"24 May, 2016"
85,TEKKEN 7,9,"39,99€",-75%,"9,99€",1,0,0,"1 Jun, 2017"
86,Pavlov VR,9,"20,99€",-40%,"12,59€",1,0,0,"27 Feb, 2017"
87,Stardew Valley,10,"13,99€",-30%,"9,79€",1,1,1,"26 Feb, 2016"
88,Expansion - Hearts of Iron IV: Waking the Tiger,7,"19,99€",-50%,"9,99€",1,1,1,"8 Mar, 2018"
89,IL-2 Sturmovik: Battle of Stalingrad,7,"46,99€",-85%,"7,04€",1,0,0,"22 Oct, 2014"
90,Medieval Dynasty,9,"24,99€",-20%,"19,99€",1,0,0,"17 Sep, 2020"
91,Sky Haven,6,"22,99€",-15%,"19,54€",1,1,1,"25 Nov, 2020"
92,Marvel's Avengers Deluxe Edition,6,"79,98€",-50%,"39,98€",1,0,0,
93,Fallout 4,7,"29,99€",-70%,"8,99€",1,0,0,"10 Nov, 2015"
94,Sleeping Dogs: Definitive Edition,9,"19,99€",-85%,"2,99€",1,0,1,"14 Oct, 2014"
95,Hunt: Showdown,9,"39,99€",-50%,"19,99€",1,0,0,"27 Aug, 2019"
96,7 Days to Die,9,"22,99€",-66%,"7,81€",1,1,1,"13 Dec, 2013"
97,ASTRONEER,9,"27,99€",-35%,"18,19€",1,0,0,"5 Feb, 2019"
98,BELOW,7,"21,99€",-60%,"8,79€",1,0,0,"14 Dec, 2018"
99,The Jackbox Party Pack 3,10,"22,99€",-35%,"14,94€",1,1,1,"17 Oct, 2016"
100,Left 4 Dead 2,10,"8,19€",-80%,"1,63€",1,1,1,"16 Nov, 2009"
101,Total War: THREE KINGDOMS,9,"59,99€",-33%,"40,19€",1,1,1,"23 May, 2019"
102,Spyro™ Reignited Trilogy,10,"39,99€",-50%,"19,99€",1,0,0,"3 Sep, 2019"
103,MORDHAU,9,"24,99€",-25%,"18,74€",1,0,0,"29 Apr, 2019"
104,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,6,"7,99€",-40%,"4,79€",1,0,0,"10 Dec, 2019"
105,3DMark,9,"24,99€",-85%,"3,74€",1,0,0,"12 Feb, 2013"
106,Bloons TD 6,10,"8,19€",-90%,"0,81€",1,0,1,"17 Dec, 2018"
107,theHunter: Call of the Wild™ - Smoking Barrels Weapon Pack,9,"3,99€",-40%,"2,39€",1,0,0,"26 Mar, 2020"
108,Monster Hunter: World,9,"29,99€",-34%,"19,79€",1,0,0,"9 Aug, 2018"
109,RimWorld,10,"29,99€",-10%,"26,99€",1,1,1,"17 Oct, 2018"
110,theHunter: Call of the Wild™ - Tents & Ground Blinds,6,"3,99€",-50%,"1,99€",1,0,0,"27 Apr, 2017"
111,theHunter: Call of the Wild™ - Weapon Pack 2,9,"3,99€",-50%,"1,99€",1,0,0,"28 Feb, 2019"
112,Sekiro™: Shadows Die Twice - GOTY Edition,9,"59,99€",-35%,"38,99€",1,0,0,"21 Mar, 2019"
113,Children of Morta,9,"21,99€",-50%,"10,99€",1,1,1,"3 Sep, 2019"
114,theHunter: Call of the Wild™ - Parque Fernando,7,"7,99€",-50%,"3,99€",1,0,0,"13 Dec, 2018"
115,theHunter: Call of the Wild™ - Weapon Pack 1,9,"3,99€",-50%,"1,99€",1,0,0,"12 Apr, 2018"
116,Sid Meier's Civilization V: Complete,10,"136,84€",-78%,"30,31€",1,1,1,
117,Generation Zero®,6,"24,99€",-63%,"9,24€",1,0,0,"26 Mar, 2019"
118,Expansion - Hearts of Iron IV: La Résistance,6,"19,99€",-33%,"13,39€",1,1,1,"25 Feb, 2020"
119,Expansion - Hearts of Iron IV: Together for Victory,6,"14,99€",-50%,"7,49€",1,1,1,"15 Dec, 2016"
120,Mortal Kombat 11,9,"49,99€",-70%,"14,99€",1,0,0,"23 Apr, 2019"
121,The Elder Scrolls V: Skyrim Special Edition,9,"39,99€",-60%,"15,99€",1,0,0,"27 Oct, 2016"
122,Post Scriptum,9,"28,--€",-25%,"21,--€",1,0,0,"9 Aug, 2018"
123,Ultimate Chicken Horse,10,"12,49€",-45%,"6,86€",1,1,1,"4 Mar, 2016"
124,Resident Evil 3,7,"59,99€",-67%,"19,79€",1,0,0,"2 Apr, 2020"
,Name,Score,Original Price,Discount,Discounted Price,Win,Linux,Mac,Release Date
0,Counter-Strike: Global Offensive,9,Free to Play,,Free to Play,1,1,1,"21 Aug, 2012"
1,DOOM Eternal,9,"59,99€",-67%,"19,79€",1,0,0,"19 Mar, 2020"
2,DEATH STRANDING,9,"59,99€",-50%,"29,99€",1,0,0,"14 Jul, 2020"
3,The Sims™ 4,9,"39,99€",-88%,"4,79€",1,0,0,"18 Jun, 2020"
4,Red Dead Redemption 2,9,"59,99€",-33%,"40,19€",1,0,0,"5 Dec, 2019"
5,Borderlands 3,9,"59,99€",-67%,"19,79€",1,0,0,"13 Mar, 2020"
6,STAR WARS Jedi: Fallen Order™,9,"59,99€",-60%,"23,99€",1,0,0,"15 Nov, 2019"
7,Halo: The Master Chief Collection,9,"39,99€",-35%,"25,99€",1,0,0,"3 Dec, 2019"
8,Sid Meier’s Civilization® VI,9,"59,99€",-75%,"14,99€",1,1,1,"20 Oct, 2016"
9,Total War: WARHAMMER II,9,"59,99€",-66%,"20,39€",1,1,1,"28 Sep, 2017"
10,Control Ultimate Edition,9,"39,99€",-50%,"19,99€",1,0,0,"27 Aug, 2020"
11,Sid Meier's Civilization VI : Platinum Edition,9,"167,91€",-76%,"39,69€",1,1,1,
12,Hades,10,"20,99€",-20%,"16,79€",1,0,1,"17 Sep, 2020"
13,Euro Truck Simulator 2,10,"19,99€",-75%,"4,99€",1,1,1,"12 Oct, 2012"
14,Far Cry® 5,7,"59,99€",-80%,"11,99€",1,0,0,"26 Mar, 2018"
15,DARK SOULS™ III,9,"59,99€",-75%,"14,99€",1,0,0,"11 Apr, 2016"
16,Grand Theft Auto V,9,"29,99€",-50%,"14,99€",1,0,0,"13 Apr, 2015"
17,STAR WARS™: Squadrons,7,"39,99€",-40%,"23,99€",1,0,0,"1 Oct, 2020"
18,Phasmophobia,10,"11,59€",-10%,"10,43€",1,0,0,"18 Sep, 2020"
19,Crusader Kings III,9,"49,99€",-20%,"39,99€",1,1,1,"1 Sep, 2020"
20,Divinity: Original Sin 2 - Definitive Edition,10,"44,99€",-60%,"17,99€",1,0,1,"14 Sep, 2017"
21,Metro Exodus,9,"39,99€",-60%,"15,99€",1,0,0,"14 Feb, 2020"
22,DARK SOULS III Deluxe Edition,9,"84,98€",-75%,"21,24€",1,0,0,"11 Apr, 2016"
23,Sea of Thieves,9,"39,99€",-25%,"29,99€",1,0,0,"3 Jun, 2020"
24,Assassin's Creed® Odyssey,9,"59,99€",-70%,"17,99€",1,0,0,"5 Oct, 2018"
25,Among Us,10,"3,99€",-20%,"3,19€",1,0,0,"16 Nov, 2018"
26,Tom Clancy's Rainbow Six® Siege,9,"29,99€",-67%,"9,89€",1,0,0,"1 Dec, 2015"
27,Resident Evil 3,7,"59,99€",-67%,"19,79€",1,0,0,"2 Apr, 2020"
28,theHunter: Call of the Wild™,9,"19,99€",-70%,"5,99€",1,0,0,"16 Feb, 2017"
29,Sekiro™: Shadows Die Twice - GOTY Edition,9,"59,99€",-35%,"38,99€",1,0,0,"21 Mar, 2019"
30,The Witcher® 3: Wild Hunt,10,"29,99€",-70%,"8,99€",1,0,0,"18 May, 2015"
31,Half-Life: Alyx,10,"49,99€",-25%,"37,49€",1,0,0,"23 Mar, 2020"
32,Stellaris,9,"39,99€",-75%,"9,99€",1,1,1,"9 May, 2016"
33,Ori and the Will of the Wisps,10,"29,99€",-50%,"14,99€",1,0,0,"10 Mar, 2020"
34,The Witcher 3: Wild Hunt - Game of the Year Edition,10,"49,99€",-70%,"14,99€",1,0,0,"30 Aug, 2016"
35,Rust,9,"33,99€",-33%,"22,77€",1,0,1,"8 Feb, 2018"
36,Shadow of the Tomb Raider: Definitive Edition,9,"109,96€",-87%,"14,80€",1,1,1,
37,EA SPORTS™ FIFA 21,7,"59,99€",-42%,"34,79€",1,0,0,"8 Oct, 2020"
38,The Elder Scrolls® Online,9,"19,99€",-60%,"7,99€",1,0,1,"22 May, 2017"
39,Assetto Corsa Competizione,9,"39,99€",-60%,"15,99€",1,0,0,"29 May, 2019"
40,The Outer Worlds,9,"59,99€",-50%,"29,99€",1,0,0,"23 Oct, 2020"
41,PLAYERUNKNOWN'S BATTLEGROUNDS,6,"29,99€",-50%,"14,99€",1,0,0,"21 Dec, 2017"
